% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
6315	1	1	1	0	28	2292	0	1	0
6315	2	2	1	0	28	2292	0	1	0
6411	1	1	1	0	28	2292	0	1	0
6411	2	2	1	0	28	2292	0	1	0
6415	1	1	1	0	28	2292	0	1	0
6415	2	2	1	0	28	2292	0	1	0
6511	1	1	1	0	28	2292	0	1	0
6511	2	2	1	0	28	2292	0	1	0
6515	1	1	1	0	28	2292	0	1	0
6515	2	2	1	0	28	2292	0	1	0
6611	1	1	1	0	28	2292	0	1	0
6611	2	2	1	0	28	2292	0	1	0
6615	1	1	1	0	28	2292	0	1	0
6615	2	2	1	0	28	2292	0	1	0
6711	1	1	1	0	28	2292	0	1	0
6711	2	2	1	0	28	2292	0	1	0
6715	1	1	1	0	28	2292	0	1	0
6715	2	2	1	0	28	2292	0	1	0
6811	1	1	1	0	28	2292	0	1	0
6811	2	2	1	0	28	2292	0	1	0
6815	1	1	1	0	28	2292	0	1	0
6815	2	2	1	0	28	2292	0	1	0
6911	1	1	1	0	28	2292	0	1	0
6911	2	2	1	0	28	2292	0	1	0
6915	1	1	1	0	28	2292	0	1	0
6915	2	2	1	0	28	2292	0	1	0
7011	1	1	1	0	28	2292	0	1	0
7011	2	2	1	0	28	2292	0	1	0
7015	1	1	1	0	28	2292	0	1	0
7015	2	2	1	0	28	2292	0	1	0
7111	1	1	1	0	28	2292	0	1	0
7111	2	2	1	0	28	2292	0	1	0
7115	1	1	1	0	28	2292	0	1	0
7115	2	2	1	0	28	2292	0	1	0
7211	1	1	1	0	28	2292	0	1	0
7211	2	2	1	0	28	2292	0	1	0
7215	1	1	1	0	28	2292	0	1	0
7215	2	2	1	0	28	2292	0	1	0
7311	1	1	1	0	28	2292	0	1	0
7311	2	2	1	0	28	2292	0	1	0
7315	1	1	1	0	28	2292	0	1	0
7315	2	2	1	0	28	2292	0	1	0
7411	1	1	1	0	28	2292	0	1	0
7411	2	2	1	0	28	2292	0	1	0
7415	1	1	1	0	28	2292	0	1	0
7415	2	2	1	0	28	2292	0	1	0
7511	1	1	1	0	28	2292	0	1	0
7511	2	2	1	0	28	2292	0	1	0
7515	1	1	1	0	28	2292	0	1	0
7515	2	2	1	0	28	2292	0	1	0
7611	1	1	1	0	28	2292	0	1	0
7611	2	2	1	0	28	2292	0	1	0
7615	1	1	1	0	28	2292	0	1	0
7615	2	2	1	0	28	2292	0	1	0
7711	1	1	1	0	28	2292	0	1	0
7711	2	2	1	0	28	2292	0	1	0
7715	1	1	1	0	28	2292	0	1	0
7715	2	2	1	0	28	2292	0	1	0
7811	1	1	1	0	28	2292	0	1	0
7811	2	2	1	0	28	2292	0	1	0
7815	1	1	1	0	28	2292	0	1	0
7815	2	2	1	0	28	2292	0	1	0
7911	1	1	1	0	28	2292	0	1	0
7911	2	2	1	0	28	2292	0	1	0
7915	1	1	1	0	28	2292	0	1	0
7915	2	2	1	0	28	2292	0	1	0
8011	1	1	1	0	28	2292	0	1	0
8011	2	2	1	0	28	2292	0	1	0
8015	1	1	1	0	28	2292	0	1	0
8015	2	2	1	0	28	2292	0	1	0
8111	1	1	1	0	28	2292	0	1	0
8111	2	2	1	0	28	2292	0	1	0
8115	1	1	1	0	28	2292	0	1	0
8115	2	2	1	0	28	2292	0	1	0
8211	1	1	1	0	28	2292	0	1	0
8211	2	2	1	0	28	2292	0	1	0
8215	1	1	1	0	28	2292	0	1	0
8215	2	2	1	0	28	2292	0	1	0
8311	1	1	1	0	28	2292	0	1	0
8311	2	2	1	0	28	2292	0	1	0
8315	1	1	1	0	28	2292	0	1	0
8315	2	2	1	0	28	2292	0	1	0
8411	1	1	1	0	28	2292	0	1	0
8411	2	2	1	0	28	2292	0	1	0
8415	1	1	1	0	28	2292	0	1	0
8415	2	2	1	0	28	2292	0	1	0
8511	1	1	1	0	28	2292	0	1	0
8511	2	2	1	0	28	2292	0	1	0
8515	1	1	1	0	28	2292	0	1	0
8515	2	2	1	0	28	2292	0	1	0
8611	1	1	1	0	28	2292	0	1	0
8611	2	2	1	0	28	2292	0	1	0
8615	1	1	1	0	28	2292	0	1	0
8615	2	2	1	0	28	2292	0	1	0
8711	1	1	1	0	28	2292	0	1	0
8711	2	2	1	0	28	2292	0	1	0
8715	1	1	1	0	28	2292	0	1	0
8715	2	2	1	0	28	2292	0	1	0
8811	1	1	1	0	28	2292	0	1	0
8811	2	2	1	0	28	2292	0	1	0
8815	1	1	1	0	28	2292	0	1	0
8815	2	2	1	0	28	2292	0	1	0
8911	1	1	1	0	28	2292	0	1	0
8911	2	2	1	0	28	2292	0	1	0
8915	1	1	1	0	28	2292	0	1	0
8915	2	2	1	0	28	2292	0	1	0
9011	1	1	1	0	28	2292	0	1	0
9011	2	2	1	0	28	2292	0	1	0
9015	1	1	1	0	28	2292	0	1	0
9015	2	2	1	0	28	2292	0	1	0
9111	1	1	1	0	28	2292	0	1	0
9111	2	2	1	0	28	2292	0	1	0
9115	1	1	1	0	28	2292	0	1	0
9115	2	2	1	0	28	2292	0	1	0
9211	1	1	1	0	28	2292	0	1	0
9211	2	2	1	0	28	2292	0	1	0
9215	1	1	1	0	28	2292	0	1	0
9215	2	2	1	0	28	2292	0	1	0
9311	1	1	1	0	28	2292	0	1	0
9311	2	2	1	0	28	2292	0	1	0
9315	1	1	1	0	28	2292	0	1	0
9315	2	2	1	0	28	2292	0	1	0
9411	1	1	1	0	28	2292	0	1	0
9411	2	2	1	0	28	2292	0	1	0
9415	1	1	1	0	28	2292	0	1	0
9415	2	2	1	0	28	2292	0	1	0
9511	1	1	1	0	28	2292	0	1	0
9511	2	2	1	0	28	2292	0	1	0
9515	1	1	1	0	28	2292	0	1	0
9515	2	2	1	0	28	2292	0	1	0
9611	1	1	1	0	28	2292	0	1	0
9611	2	2	1	0	28	2292	0	1	0
9615	1	1	1	0	28	2292	0	1	0
9615	2	2	1	0	28	2292	0	1	0
9711	1	1	1	0	28	2292	0	1	0
9711	2	2	1	0	28	2292	0	1	0
9715	1	1	1	0	28	2292	0	1	0
9715	2	2	1	0	28	2292	0	1	0
9811	1	1	1	0	28	2292	0	1	0
9811	2	2	1	0	28	2292	0	1	0
9815	1	1	1	0	28	2292	0	1	0
9815	2	2	1	0	28	2292	0	1	0
9911	1	1	1	0	28	2292	0	1	0
9911	2	2	1	0	28	2292	0	1	0
9915	1	1	1	0	28	2292	0	1	0
9915	2	2	1	0	28	2292	0	1	0
